"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2380T4537134X","2024-01-16","2023-12-20","2023-12-20","DPE 2006 tertiaire et ERP",,"2033-12-19",2.3,,"dpe tertiaire facture",,,"C","B",164,5,2017,,"2013-2021","locaux d'entreprise (bureaux)",800,107000,117700,,"JULES VERNE BUSINESS PARK","Boves","80131",,"80131_0485","Rue Jules Verne 80440 Boves","80440",0.5,"Rue Jules Verne",657027.93,6972381.86,80440,,,"ENTREPOT AMAZON",,,"adresse non géocodée ban car aucune correspondance trouvée","BOVES","80","32",8159384,18766583,"Électricité","Eau Chaude sanitaire",554838,2024,8159384,18766583,"Électricité","Eau Chaude sanitaire",554838,2023,8159384,18766583,"Électricité","Eau Chaude sanitaire",554838,2022
"2494T0160251V","2024-01-16","2024-01-15","2023-12-18","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,2006,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",300,226,100,,"7-9 RUE Jean Prouvé /16 rue Gustave Eiffel","Villejuif","94076","9","94076_4182_00009","9 Rue Gustave Eiffel 94800 Villejuif","94800",0.6,"Rue Gustave Eiffel",652383.59,6853664.09,94800,0,,"2024/IMO/1461",,,"adresse géocodée ban à l'adresse","VILLEJUIF","94","11",,,,,,,,,,,,,,,,,,
"2442T0168670Q","2024-01-16","2024-01-15","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"B","A",32.2,0.8,2002,"5ème Catégorie","2001-2005","locaux d'entreprise (bureaux)",10,1615,100,,"2, RUE DU CLOS MARQUET","Saint-Chamond","42207","2","42207_0543_00002","2 Rue du clos marquet 42400 Saint-Chamond","42400",0.61,"Rue du clos marquet",818500.07,6488607.95,42400,0,,"511-106248",,,"adresse géocodée ban à l'adresse","ST CHAMOND","42","84",15313,35219.9,"Électricité","périmètre de l'usage inconnu",4442,2024,22000,22000,"Bois – Plaquettes d’industrie","périmètre de l'usage inconnu",704,2024,,,,,,
"2428T0199611D","2024-01-18","2024-01-05","2024-01-05","DPE 2006 tertiaire et ERP",,"2034-01-04",2.3,,"dpe tertiaire facture",,,"G","G",41,1,1997,,"1989-2000","locaux d'entreprise (bureaux)",7,830.4,913.4,,"2 Route de Berchères","Rouvres","28321","2","28321_0016_00002","2 Route de Bercheres 28260 Rouvres","28260",0.94,"Route de Bercheres",589497.73,6861163.89,28260,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","ROUVRES","28","24",16193,37245,"Électricité","Eau Chaude sanitaire",2645,2024,16193,37245,"Électricité","Eau Chaude sanitaire",2645,2023,16193,37245,"Électricité","Eau Chaude sanitaire",2645,2022
"2477T0161623Y","2024-01-16","2024-01-15","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"B","B",74.2,5.3,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",300,1835,100,,"4 Boulevard Jean Monnet","Combs-la-Ville","77122",,"77122_0597","Boulevard Jean Monnet 77380 Combs-la-Ville","77380",0.55,"Boulevard Jean Monnet",667043.57,6839157.52,77380,0,,"2024/IMO/1443",,,"adresse géocodée ban à l'adresse","COMBS LA VILLE","77","11",50877,117017.1,"Électricité","périmètre de l'usage inconnu",14758,2024,32685.6,32685.6,"Gaz naturel","périmètre de l'usage inconnu",3635,2024,,,,,,
"2459T0240800N","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"C","B",132,12.5,,"5ème Catégorie","2013-2021","locaux d'entreprise (bureaux)",0,409.8,100,,"89 rue Georges Stephenson
Cellule B13","Famars","59221","89","59221_0267_00089","89 Rue Georges Stephenson 59300 Famars","59300",0.42,"Rue Georges Stephenson",736226.15,7024727.52,59300,0,,"23/3444/MDO",,,"adresse géocodée ban à l'adresse","FAMARS","59","32",17144,39431.2,"Électricité","périmètre de l'usage inconnu",5265,2022,20078.4,20078.4,"Gaz naturel","périmètre de l'usage inconnu",1520,2022,,,,,,
"2491T0184021Y","2024-01-17","2024-01-16","2023-12-17","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",300,294,100,,"9, Avenue de Canada
Parc Hightec VI, Zenith building","Les Ulis","91692","9","91692_0310_00009","9 Avenue du Canada 91940 Les Ulis","91940",0.59,"Avenue du Canada",641004.53,6843449.98,91940,0,,"2023/IMO/1078",,,"adresse géocodée ban à l'adresse","LES ULIS","91","11",,,,,,,,,,,,,,,,,,
"2468T0182983D","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"F","C",396,11,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",0,268.9,100,"Électricité","5 Rue Victor Schoelcher","Mulhouse","68224","5","68224_6734_00005","5 Rue Victor Schoelcher 68200 Mulhouse","68200",0.7,"Rue Victor Schoelcher",1021409.49,6745702.7,68200,0,,"147830",,,"adresse géocodée ban à l'adresse","MULHOUSE","68","44",50932,117143.6,"Électricité","Chauffage",1628.5,2023,,,,,,,,,,,,
"2491T0185602T","2024-01-17","2024-01-16","2023-12-17","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",300,570,100,,"9, Avenue de Canada
Parc Hightec VI, Apogée building","Les Ulis","91692","9","91692_0310_00009","9 Avenue du Canada 91940 Les Ulis","91940",0.59,"Avenue du Canada",641004.53,6843449.98,91940,0,,"2023/IMO/1075",,"Parc Hightec VI, Apogée building","adresse géocodée ban à l'adresse","LES ULIS","91","11",,,,,,,,,,,,,,,,,,
"2449T0223466L","2024-01-21","2024-01-20","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture",,,"D","D",182,30.7,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",5,120,100,,"19, rue Saint Martin","Angers","49007","19","49007_7290_00019","19 Rue Saint-Martin 49100 Angers","49100",0.7,"Rue Saint-Martin",432520.73,6713680.17,49100,0,,"2024/01/17/1689",,,"adresse géocodée ban à l'adresse","ANGERS","49","52",16976,16976,"Gaz naturel","périmètre de l'usage inconnu",2673.8,2023,3063,7044.9,"Électricité","périmètre de l'usage inconnu",825,2023,,,,,,
"2493T0213271A","2024-01-19","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,2013,"5ème Catégorie","2013-2021","locaux d'entreprise (bureaux)",1,544,100,,"1-5 , rue Talabot","Saint-Ouen-sur-Seine","93070","5","93070_7131_00005","5 Rue Paulin Talabot 93400 Saint-Ouen-sur-Seine","93400",0.6,"Rue Paulin Talabot",650926.63,6868436.45,93400,0,,"56195-1",,"R+7","adresse géocodée ban à l'adresse","SAINT-OUEN SUR SEINE","93","11",,,,,,,,,,,,,,,,,,
"2477T0167598T","2024-01-16","2024-01-15","2023-12-20","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,1988,"5ème Catégorie","1983-1988","locaux d'entreprise (bureaux)",300,255,100,,"13/15 Allée du Clos des charmes","Collégien","77121","15","77121_0096_00015","15 Allée du Clos des Charmes 77090 Collégien","77090",0.55,"Allée du Clos des Charmes",675996.9,6858722.74,77090,0,,"2024/IMO/1473",,,"adresse géocodée ban à l'adresse","COLLEGIEN","77","11",,,,,,,,,,,,,,,,,,
"2462T0179432I","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,27.8,100,,"1 Rue Roger Salengro","Outreau","62643","1","62643_0640_00001","1 Rue Roger Salengro 62230 Outreau","62230",0.68,"Rue Roger Salengro",601153.67,7068839.53,62230,0,,"TPCA/24/IMO/0668",,"Bureau 13","adresse géocodée ban à l'adresse","OUTREAU","62","32",,,,,,,,,,,,,,,,,,
"2460T0230405T","2024-01-22","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture",,,"B","A",62,2,1949,,"avant 1948","locaux d'entreprise (bureaux)",30,955.5,955.5,,"156 RUE DE BEAUVAIS","Margny-lès-Compiègne","60382",,"60382_0060","Rue de Beauvais 60280 Margny-lès-Compiègne","60280",0.8,"Rue de Beauvais",686539.59,6924306.37,60280,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MARGNY LES COMPIEGNE","60","32",25583,58842,"Électricité","Eau Chaude sanitaire",4147,2024,25583,58842,"Électricité","Eau Chaude sanitaire",4147,2023,25583,58842,"Électricité","Eau Chaude sanitaire",4147,2022
"2413T0230393M","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,65.6,100,,"1 route de la valentine","Marseille","13211","1","13211_9305_00001","1 Route de la valentine 13011 Marseille","13011",0.69,"Route de la valentine",899996.19,6246594.68,13011,0,,"24/01/2883",,"Etage RDC","adresse géocodée ban à l'adresse","MARSEILLE - 11EME","13","93",,,,,,,,,,,,,,,,,,
"2475T0183505M","2024-01-17","2024-01-16","2024-01-04","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,172.4,100,,"12 rue Vivienne","Paris","75102","12","75102_9893_00012","12 Rue Vivienne 75002 Paris","75002",0.65,"Rue Vivienne",651544.68,6863269.45,75002,0,,"C-DI92-2023-30-215270-12 vivienne-bata-1ergauche",,,"adresse géocodée ban à l'adresse","PARIS 02, France","75","11",,,,,,,,,,,,,,,,,,
"2491T0193514B","2024-01-18","2024-01-17","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",0,44,100,,"13 Route de Versailles","Champlan","91136","13","91136_0500_00013","13 Route de Versailles 91160 Champlan","91160",0.61,"Route de Versailles",647699.48,6844631.47,91160,0,,"SER/24/0024",,"Bureaux fond de Cour","adresse géocodée ban à l'adresse","CHAMPLAN","91","11",,,,,,,,,,,,,,,,,,
"2444T0208345R","2024-01-19","2024-01-18","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,2010,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",0,78,100,,"3, rue Claude Chappe","Carquefou","44026","3","44026_2301_00003","3 Rue Claude Chappe 44470 Carquefou","44470",0.53,"Rue Claude Chappe",359465.27,6698911.94,44470,0,,"24010021-ACO-Lot 5",,"Etage 1","adresse géocodée ban à l'adresse","CARQUEFOU","44","52",,,,,,,,,,,,,,,,,,
"2438T0241567F","2024-01-22","2024-01-21","2024-01-11","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"D","B",246.8,6.9,,"5ème Catégorie","2013-2021","locaux d'entreprise (bureaux)",0,770,100,,"LJ Industrie 
ZAC DE LA GRANDE ILE
645 Rue Guynemer","Le Versoud","38538","645","38538_0243_00645","645 Rue Guynemer 38420 Le Versoud","38420",0.46,"Rue Guynemer",924952.33,6463394.26,38420,0,,"244165",,,"adresse géocodée ban à l'adresse","LE VERSOUD, France","38","84",90903,209076.9,"Électricité","périmètre de l'usage inconnu",26368,2024,,,,,,,,,,,,
"2447T0173170X","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,35.2,100,,"40 Rue Grenouilla","Agen","47001","40","47001_1747_00040","40 Rue Grenouilla 47000 Agen","47000",0.64,"Rue Grenouilla",509914.13,6348069.44,47000,0,,"DIA-GNL10-2401-009",,"Etage : RDC","adresse géocodée ban à l'adresse","AGEN","47","75",,,,,,,,,,,,,,,,,,
"2469T0169138R","2024-01-16","2024-01-15","2024-01-03","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",155,4.3,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,49.3,100,,"34 rue Ney","Lyon","69386","34","69386_5020_00034","34 Rue Ney 69006 Lyon","69006",0.71,"Rue Ney",844166.62,6520549.49,69006,0,,"005 24 NEY LC SCI MARGAUX",,"RDC","adresse géocodée ban à l'adresse","LYON 06","69","84",3651,8397.3,"Électricité","périmètre de l'usage inconnu",1314,2023,,,,,,,,,,,,
"2435T0173568T","2024-01-16","2024-01-15","2024-01-03","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"D","B",267.9,7.5,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,50.1,100,,"23 rue Notre Dame","Combourg","35085","23","35085_0660_00023","23 Rue Notre Dame 35270 Combourg","35270",0.57,"Rue Notre Dame",348712.6,6822756.29,35270,0,,"35.2024.01.04.18302",,"Local commercial","adresse géocodée ban à l'adresse","COMBOURG","35","53",6421.5,14769.5,"Électricité","périmètre de l'usage inconnu",800.5,2023,,,,,,,,,,,,
"2425T0202693O","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP","2425T0202519W","2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,2023,,"après 2021","locaux d'entreprise (bureaux)",500,,85.8,,"2 rue Charles Schmitt","Valdahon","25578","2","25578_0058_00002","2 Rue Charles Schmitt 25800 Valdahon","25800",0.96,"Rue Charles Schmitt",952458.24,6677315.46,25800,,,,,,"adresse géocodée ban à l'adresse","VALDAHON","25","27",,,,,,,,,,,,,,,,,,
"2491T0205803S","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"D","C",281.1,30.2,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,929.4,100,,"9 AVENUE DU 1ER MAI","Palaiseau","91477","9","91477_4130_00009","9 Avenue du 1er Mai 91120 Palaiseau","91120",0.62,"Avenue du 1er Mai",645333.48,6845971.57,91120,0,,"23/OPE/1853",,,"adresse géocodée ban à l'adresse","PALAISEAU, France","91","11",74946,172375.8,"Électricité","périmètre de l'usage inconnu",16330,2023,114978.4,114978.4,"Gaz naturel","périmètre de l'usage inconnu",7377,2023,,,,,,
"2402T0205715X","2024-01-18","2024-01-17","2024-01-11","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"E","D",399.2,53,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,108,100,"Gaz naturel","84 avenue Charles de Gaulle","Laon","02408","84","02408_0403_00084","84 Avenue Charles de Gaulle 02000 Laon","02000",0.68,"Avenue Charles de Gaulle",746490.91,6941305.78,2000,0,,"AA/IMO/2931",,,"adresse géocodée ban à l'adresse","LAON","02","32",25000,25000,"Gaz naturel","Chauffage",2780,2022,9750,22425,"Électricité","Ascenseur(s)",2828.5,2022,,,,,,
"2460T0230236G","2024-01-22","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,1949,,"avant 1948","locaux d'entreprise (bureaux)",30,921.6,921.6,,"156 RUE DE BEAUVAIS","Margny-lès-Compiègne","60382",,"60382_0060","Rue de Beauvais 60280 Margny-lès-Compiègne","60280",0.8,"Rue de Beauvais",686539.59,6924306.37,60280,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MARGNY LES COMPIEGNE","60","32",,,,,,,,,,,,,,,,,,
"2449T0201309G","2024-01-18","2024-01-17","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",129.1,3.6,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,105.8,100,,"61 Quai Comte Lair","Saumur","49328","61","49328_0660_00061","61 Quai Comte Lair 49400 Saumur","49400",0.65,"Quai Comte Lair",467487.96,6689812.19,49400,0,,"5012894 SCI BALMO",,,"adresse géocodée ban à l'adresse","SAUMUR","49","52",6532,15023.6,"Électricité","Ascenseur(s)",1114.3,2023,,,,,,,,,,,,
"2425T0195279K","2024-01-18","2024-01-16","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,1980,,"1978-1982","locaux d'entreprise (bureaux)",500,,124.3,,"8 chemin de Palente","Besançon","25056","8","25056_3790_00008","8 chemin de palente 25000 Besançon","25000",0.98,"chemin de palente",930616.05,6689495.48,25000,0,"Bâtiment A",,,,"adresse non géocodée ban car aucune correspondance trouvée","BESANCON","25","27",,,,,,,,,,,,,,,,,,
"2459T0203096J","2024-01-18","2024-01-17","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",0,153.6,100,,"29 TER AVENUE DE LA MARNES","Wasquehal","59646","29t","59646_1000_00029_t","29t Avenue de la Marne 59290 Wasquehal","59290",0.65,"Avenue de la Marne",708645.43,7065639.84,59290,0,,"2024-01-0059",,,"adresse géocodée ban à l'adresse","WASQUEHAL","59","32",,,,,,,,,,,,,,,,,,
"2449T0239226P","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,13.9,100,,"107, grand rue","Varrains","49362","107","49362_0035_00107","107 Grand'Rue 49400 Varrains","49400",0.53,"Grand'Rue",468770.89,6684456.33,49400,0,,"24/DIA/6126",,,"adresse géocodée ban à l'adresse","VARRAINS","49","52",,,,,,,,,,,,,,,,,,
"2478T0226384U","2024-01-22","2024-01-21","2023-12-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"D","C",232.5,27.3,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",20,580,100,,"Batiment Agri Obtention
Chemin rural de la petite minière","Guyancourt","78297",,"78297_0144","Chemin de la Petite Minière 78280 Guyancourt","78280",0.58,"Chemin de la Petite Minière",633147.12,6853262.96,78280,0,,"2401/CED/1-0006049",,,"adresse géocodée ban à l'adresse","GUYANCOURT","78","11",45000,103500,"Électricité","périmètre de l'usage inconnu",13053,2024,44865,44865,"Fioul domestique","périmètre de l'usage inconnu",4102,2023,,,,,,
"2401T0184733W","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,1900,,"avant 1948","locaux d'entreprise (bureaux)",1,53.7,59.1,,"27, PLACE DE LA MAIRIE","Polliat","01301","27","01301_0005_00027","27 Place de la Mairie 01310 Polliat","01310",0.95,"Place de la Mairie",863822.59,6574325.08,1310,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","POLLIAT","01","84",,,,,,,,,,,,,,,,,,
"2459T0221100V","2024-01-20","2024-01-19","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-18",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1978-1982","locaux d'entreprise (bureaux)",0,210.7,100,,"22 Boulevard Louis XIV","Dunkerque","59183","22","59183_2588_00022","22 Rue Louis Dumez 59640 Dunkerque","59640",0.71,"Rue Louis Dumez",654066.81,7102950.68,59640,0,,"LP 2285/2024",,,"adresse géocodée ban à l'adresse","DUNKERQUE","59","32",,,,,,,,,,,,,,,,,,
"2474T0229384A","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",20,120,100,,"48 Route des creusettes","Poisy","74213","48","74213_0280_00048","48 Route des creusettes 74330 Poisy","74330",0.6,"Route des creusettes",938950.54,6539939.9,74330,0,,"24/PATUREL/11562",,"Etage : 2ème ;porte : DROITE ;","adresse géocodée ban à l'adresse","POISY","74","84",,,,,,,,,,,,,,,,,,
"2429T0217785E","2024-01-19","2024-01-18","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture",,,"D","B",231.2,6.4,,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",0,103,100,,"14 Avenue PER JAKEZ HELIAS","Ergué-Gabéric","29051","14","29051_0671_00014","14 Avenue Per Jakez Helias 29500 Ergué-Gabéric","29500",0.51,"Avenue Per Jakez Helias",174918.56,6789773.36,29500,0,,"SCI DU TALVEG_20240118",,"Bâtiment A","adresse géocodée ban à l'adresse","ERGUE GABERIC","29","53",11388.7,26193.9,"Électricité","périmètre de l'usage inconnu",1138.7,2023,,,,,,,,,,,,
"2491T0184190L","2024-01-17","2024-01-16","2023-12-17","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",300,1838,100,,"9, Avenue de Canada
Parc Hightec VI, Zenith building","Les Ulis","91692","9","91692_0310_00009","9 Avenue du Canada 91940 Les Ulis","91940",0.59,"Avenue du Canada",641004.53,6843449.98,91940,0,,"2023/IMO/1077",,"ETICONCEPT SAS (t0034815)","adresse géocodée ban à l'adresse","LES ULIS","91","11",,,,,,,,,,,,,,,,,,
"2474T0236656S","2024-01-22","2024-01-21","2023-12-27","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",10,154,100,,"27 Rue Cassiopée","Chavanod","74067","27","74067_0048_00027","27 Rue Cassiopée 74650 Chavanod","74650",0.47,"Rue Cassiopée",938791.78,6537782.9,74650,0,,"23/BAULAC/11514",,"Etage : 1 ;","adresse géocodée ban à l'adresse","CHAVANOD","74","84",,,,,,,,,,,,,,,,,,
"2490T0225507N","2024-01-21","2024-01-21","2023-05-25","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","D",239,50.6,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",2,61.1,100,,"5 rue Georges Koechlin","Belfort","90010","5","90010_1830_00005","5 Rue Georges Koechlin 90000 Belfort","90000",0.61,"Rue Georges Koechlin",989469.9,6732780.37,90000,0,,"223 155-LC",,"Local commercial au RDC","adresse géocodée ban à l'adresse","Belfort","90","27",9970,9970,"Fioul domestique","périmètre de l'usage inconnu",1206,2022,2650,6095,"Électricité","périmètre de l'usage inconnu",522,2022,,,,,,
"2456T0160861V","2024-01-16","2024-01-15","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"B","A",49.7,1.4,,"5ème Catégorie","2001-2005","locaux d'entreprise (bureaux)",0,265,100,,"SARL LANTRAIN
3 ZA de la Madeleine",,,,,,,,,,,56460,0,,"24/01/LANGUEN/0100",,,"adresse non géocodée ban car aucune correspondance trouvée","SERENT",,,6302.3,14495.4,"Électricité","périmètre de l'usage inconnu",1828.3,2022,,,,,,,,,,,,
"2463T0240118L","2024-01-22","2024-01-21","2024-01-03","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,31,100,,"20 RUE DES SALLES","Clermont-Ferrand","63113",,"63113_4195","rue des Salles 63000 Clermont-Ferrand","63000",0.64,"rue des Salles",706253.98,6519557.33,63000,0,,"C-DI63-2023-30-216117",,"RDC","adresse géocodée ban à l'adresse","CLERMONT FERRAND","63","84",,,,,,,,,,,,,,,,,,
"2491T0165062T","2024-01-16","2024-01-15","2024-01-04","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,1994,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",300,502,100,,"1 RUE D'AMSTERDAM","Tigery","91617","1","91617_0010_00001","1 Rue d'Amsterdam 91250 Tigery","91250",0.43,"Rue d'Amsterdam",666204.12,6838196.65,91250,0,,"2024/IMO/1440",,,"adresse géocodée ban à l'adresse","TIGERY, France","91","11",,,,,,,,,,,,,,,,,,
"2425T0203648H","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,1970,,"1948-1974","locaux d'entreprise (bureaux)",500,,60.9,,"2 rue du Tatre","Pierrefontaine-les-Varans","25453","2","25453_0083_00002","2 Rue du Tatre 25510 Pierrefontaine-les-Varans","25510",0.61,"Rue du Tatre",967700.43,6685414.05,25510,,,,,,"adresse géocodée ban à l'adresse","PIERREFONTAINE-LES-VARANS","25","27",,,,,,,,,,,,,,,,,,
"2475T0191746L","2024-01-17","2024-01-17","2024-01-03","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,81.2,100,,"12 rue Vivienne","Paris","75102","12","75102_9893_00012","12 Rue Vivienne 75002 Paris","75002",0.65,"Rue Vivienne",651544.68,6863269.45,75002,0,,"C-DI92-2023-30-215270-12 vivienne-batb-4emedroite",,,"adresse géocodée ban à l'adresse","PARIS 02, France","75","11",,,,,,,,,,,,,,,,,,
